toSelf CA_029
TP,FP,TN,FN,DICE,CC
4352,330,44150,321,0.929,2.0

toSelf CMC_030
TP,FP,TN,FN,DICE,CC
3963,111,43112,1966,0.792,1.0

toSelf GM_035
TP,FP,TN,FN,DICE,CC
3189,252,45387,325,0.917,1.3

toSelf LM_036
TP,FP,TN,FN,DICE,CC
847,752,45401,2152,0.345,21.7

toSelf MA_033
TP,FP,TN,FN,DICE,CC
2670,453,45665,364,0.867,1.0

toSelf MC_031
TP,FP,TN,FN,DICE,CC
4466,257,44133,296,0.941,1.3

toSelf MF_037
TP,FP,TN,FN,DICE,CC
2593,755,45711,93,0.86,2.0

toSelf MP_034
TP,FP,TN,FN,DICE,CC
3655,418,44797,282,0.913,1.3

toSelf SJP_028
TP,FP,TN,FN,DICE,CC
3402,531,44696,523,0.867,3.7

toSelf SN_032
TP,FP,TN,FN,DICE,CC
6181,225,41725,1021,0.909,1.0

